date,geo,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,geo_1,14000000,1839791.12,98.801,135907.29,9552669,11438.66,2239532,51068.73,7629506,23639.55,4370525,41738.29,1596889
2023-01-09,geo_1,14000000,2030905.6,100.548,135680.16,10631519,37952.89,7216608,48901.38,6470730,35088.93,6782982,40722.5,1544137
2023-01-16,geo_1,14000000,2041388.37,101.362,134224.7,10080652,44287.67,7582589,55526.16,7322982,52632.51,10433934,38750.91,1382122
2023-01-23,geo_1,14000000,2143088.35,101.381,163466.97,12258278,42019.03,7565278,19188.76,2836886,44946.39,8630207,52163.96,1850691
2023-01-30,geo_1,14000000,1904945.81,100.803,38235.76,3120605,40092.65,7246591,26337.99,3534621,21645.33,4229067,42996.21,1574207
2023-02-06,geo_1,14000000,1821016.89,102.02,39315.48,2714539,11887.29,2090440,55364.82,8169525,15776.89,2898565,34149.94,1265229
2023-02-13,geo_1,14000000,2110581.95,102.129,38301.16,2819952,12877.82,2441151,55198.15,6924157,19540.86,3643832,31591.58,1209279
2023-02-20,geo_1,14000000,1887299.4,100.985,32865.92,2336024,11104.47,2035776,54541.4,7128319,15977.13,2988996,40920.35,1554531
2023-02-27,geo_1,14000000,1775902.97,100.229,33936.4,2887792,8786.71,1561351,23378.46,3389897,19778.37,3747350,40008.71,1439142
2023-03-06,geo_1,14000000,2012153.88,101.247,34143.61,2457562,11131.85,1987558,25446.22,3360683,21288.98,3880289,75365.52,3371870
2023-03-13,geo_1,14000000,1880768.83,100.985,48667.26,3644688,13344.25,2534651,25890.14,3323970,20058.03,3706884,86169.53,3005045
2023-03-20,geo_1,14000000,1817621.47,104.728,37234.76,2489669,12666.87,2372407,23165.52,3040842,18887.33,3402297,36105.21,1348989
2023-03-27,geo_1,14000000,1693856.97,104.195,40494.76,2769597,15586.31,2956842,25233.11,3397463,20921.43,4060658,47401.08,1902580
2023-04-03,geo_1,14000000,1873282.77,102.335,121371.75,8533951,9568.53,1787946,20809.24,3078949,19961.15,3899339,40551.48,1504276
2023-04-10,geo_1,14000000,1867310.68,100.7,148553.4,10640790,45670.34,9358629,23220.25,3190967,16977.87,3160188,37112.72,1462239
2023-04-17,geo_1,14000000,1904824.49,99.407,161627.66,11650559,47249.48,8565934,60943.74,8567765,14287.36,2410693,35000.78,1368570
2023-04-24,geo_1,14000000,2008914.56,96.612,152732.33,11323486,35528.82,6491332,58452.22,8032247,16568.38,3266449,47665.8,1815309
2023-05-01,geo_1,14000000,2020988.39,98.646,49692.9,3023744,54146.1,9921994,53554.07,7074127,12986.33,2285691,36504.19,1382522
2023-05-08,geo_1,14000000,1921826.27,98.125,41875.83,2727216,12014.84,2214378,20113.06,2760640,33865.27,6148776,77334.59,2867746
2023-05-15,geo_1,14000000,2245241.82,98.245,43684.86,3242184,12030.42,2261780,22164.1,2838348,48399.92,8474123,78880.22,2609570
2023-05-22,geo_1,14000000,1824107.14,98.329,48592.47,3941737,12168.08,2165297,22298.89,3038766,43061.3,8114165,35606.47,1200105
2023-05-29,geo_1,14000000,1882808.8,100.87,50643.08,3542426,14216.0,2760409,17617.76,2312096,14037.84,2596874,32089.2,1219805
2023-06-05,geo_1,14000000,1830198.33,101.892,45087.28,3289126,13192.15,2484839,18831.36,2485958,16475.34,3261218,34347.22,1221305
2023-06-12,geo_1,14000000,1640548.35,100.41,42732.9,3198564,10505.88,1831632,19617.05,2567953,19785.12,3784134,38893.76,1567070
2023-06-19,geo_1,14000000,1659726.94,100.83,44622.28,3335488,10435.13,2008805,21189.85,2795469,16683.77,3449195,38783.8,1479405
2023-06-26,geo_1,14000000,1698786.47,99.444,54472.4,3798959,11899.39,2315819,19949.43,2803328,14213.89,2636803,36857.12,1348776
2023-07-03,geo_1,14000000,1698328.46,100.723,41473.72,3047890,10072.68,1945389,24599.41,3330848,14263.39,2797975,39039.58,1341675
2023-07-10,geo_1,14000000,1809407.35,103.13,42424.8,3056114,10415.62,1919996,18655.16,2261465,20757.37,3939475,101772.77,3718190
2023-07-17,geo_1,14000000,1641407.52,102.699,43103.76,3071866,11661.03,2141175,27423.69,3888751,20965.7,4439839,96551.34,4095071
2023-07-24,geo_1,14000000,1757359.13,102.085,215712.39,15714990,12229.16,2206984,22098.15,3175570,20800.92,3961163,39498.17,1339901
2023-07-31,geo_1,14000000,1908706.64,101.22,187367.45,13422203,39837.06,7830216,24298.0,3429472,18657.38,3472056,42629.33,1670829
2023-08-07,geo_1,14000000,1930962.29,100.315,154453.46,11481435,35882.69,6702338,21102.57,3072762,42469.76,8006533,39542.39,1616559
2023-08-14,geo_1,14000000,1920681.71,98.082,165500.01,12054438,32166.77,6092818,53887.99,7276445,44383.24,7324411,41969.78,1577018
2023-08-21,geo_1,14000000,1966608.25,98.388,45218.59,3033743,40827.57,7358479,42931.01,6162427,41402.93,7221774,48558.89,1875223
2023-08-28,geo_1,14000000,1822722.01,97.493,41530.44,2712237,8807.81,1739547,60376.44,8063291,19258.81,3605308,36129.52,1318339
2023-09-04,geo_1,14000000,1660077.03,97.111,38428.41,2754450,8423.95,1612309,18157.02,2474589,47894.83,9547183,40872.73,1641538
2023-09-11,geo_1,14000000,1727899.59,99.581,40011.97,2759983,9546.17,1707779,19887.29,2662030,41540.51,8328639,39618.57,1563764
2023-09-18,geo_1,14000000,1709856.23,100.261,41531.22,3158820,8379.9,1442822,39543.93,5420528,59827.68,11783249,37939.09,1604580
2023-09-25,geo_1,14000000,1735000.1,100.641,41206.56,2925530,10353.34,1848881,50941.48,6610654,20849.63,3993442,37801.23,1572141
2023-10-02,geo_1,14000000,1997264.47,101.805,43836.31,3225351,12153.45,2284290,47163.64,6347006,21402.89,4304093,35468.11,1477314
2023-10-09,geo_1,14000000,1458038.86,103.618,38993.1,2785487,11023.12,1898164,22935.31,3138971,17331.49,2874012,34831.59,1378638
2023-10-16,geo_1,14000000,1390280.87,102.563,37119.87,2570989,11003.03,2250713,21085.57,2850245,19969.93,3904290,31149.83,1255207
2023-10-23,geo_1,14000000,1640954.43,102.271,42366.11,3335075,11996.33,2259697,20351.93,2534057,19282.43,3453642,35838.06,1280552
2023-10-30,geo_1,14000000,1769846.52,102.551,41713.62,3125730,10825.43,2041214,18508.86,2511629,17660.17,3195058,40336.36,1548163
2023-11-06,geo_1,14000000,1566441.88,104.528,123620.38,9235624,9258.69,1559493,25288.21,3222480,19042.15,3428682,49442.21,1958686
2023-11-13,geo_1,14000000,1615883.55,105.265,164199.02,11379889,37615.78,6561825,20451.24,2707017,26890.66,5199039,47563.95,1841026
