date,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,50000000,6914774.74,99.849,169777.35,14663928,50747.75,7898404,190902.19,28155877,57108.3,11875633,177166.06,6861907
2023-01-09,50000000,6954514.44,98.471,137669.24,11037804,39409.36,6386745,218093.8,31427449,149075.96,30338588,151183.72,5669383
2023-01-16,50000000,6767645.17,100.906,167065.91,13740245,48655.09,7708408,79324.33,11604185,166211.19,33175334,168382.94,6148280
2023-01-23,50000000,7054425.45,99.947,157207.17,13094066,32658.3,5372720,71739.36,10600972,127867.55,25393194,330241.88,12507336
2023-01-30,50000000,7441065.24,98.258,520823.6,42838511,36165.66,6103885,77567.95,11377332,69341.8,13671362,325576.17,12693495
2023-02-06,50000000,7278755.91,99.551,570485.24,46499645,148202.36,24150954,78491.1,11157159,56383.45,11172302,166216.96,6330215
2023-02-13,50000000,7243474.97,101.19,690300.23,57616825,147588.98,23756298,81047.78,11637589,55454.33,10853929,153642.87,5806618
2023-02-20,50000000,7287603.42,101.184,558283.58,45190808,161509.06,25163865,101579.43,14960982,67123.16,13758558,150679.52,5795688
2023-02-27,50000000,7529196.93,100.051,144693.68,12121198,132097.26,21368106,237181.38,33429857,56812.37,11195945,171160.44,6425093
2023-03-06,50000000,6918701.59,102.904,155361.48,12794478,40431.71,6521363,189839.43,25985392,72404.33,14860475,153451.44,5900438
2023-03-13,50000000,6958146.17,101.138,135859.09,11203867,40621.5,6600652,205454.54,29326296,71429.78,14075068,157969.34,6204944
2023-03-20,50000000,6650428.86,103.4,140452.61,11930126,40583.68,6354952,101592.06,14352499,67966.31,13912052,157808.77,6171369
2023-03-27,50000000,6939431.47,101.681,154794.07,12649576,41520.69,6816373,76061.05,10466259,60385.1,12697227,304665.26,11107357
2023-04-03,50000000,6680931.91,102.549,142115.57,11678125,36966.66,5728315,87947.87,12564267,64846.15,13049089,358418.5,13986632
2023-04-10,50000000,6462149.67,103.571,145505.06,12231231,153694.97,24221763,77499.72,11005915,74839.8,14624157,155785.86,5823537
2023-04-17,50000000,6272212.09,105.959,157853.77,13118840,147476.77,23642823,71588.42,10655210,78447.1,15496775,137906.74,5347784
2023-04-24,50000000,6286811.21,104.447,182555.22,14810504,198312.72,30757134,78305.56,11301210,139884.27,28311524,154301.12,6242718
2023-05-01,50000000,6382825.65,105.131,145309.57,12040552,147166.6,23128541,80798.87,11610489,119824.94,24251667,268389.45,10686354
2023-05-08,50000000,6594004.29,103.731,136367.71,10739010,35836.6,5555973,93231.83,13341707,148288.08,29046965,347386.7,13376602
2023-05-15,50000000,6851105.53,102.224,211057.01,17594259,56682.01,8738593,73216.93,10072099,65700.8,12733135,128733.56,4844368
2023-05-22,50000000,6433281.08,104.529,165894.86,13691319,52344.54,8313663,236031.87,32529513,67222.39,13115922,154261.95,5892317
2023-05-29,50000000,6332932.72,104.297,116627.32,9727375,37279.2,6234530,196132.86,28586979,70987.74,14754735,143890.71,5423326
2023-06-05,50000000,6421666.51,103.142,138995.41,11861516,37889.18,5774522,196885.68,27972964,57828.83,11592214,160167.57,5962603
2023-06-12,50000000,6576305.25,101.346,120600.26,10272920,31591.7,4950231,71295.55,10491461,57528.94,11902011,156256.71,5970857
2023-06-19,50000000,6532577.56,101.136,162105.32,14033842,41101.17,6609439,62603.44,8845968,56772.18,11763857,156922.31,6082869
2023-06-26,50000000,6500793.23,100.658,127956.3,10963170,41128.32,6511992,80701.94,12052212,69549.33,14505857,177375.37,6961116
2023-07-03,50000000,6931598.56,99.176,557271.33,47588464,42162.51,6660181,73086.26,10272548,63287.34,12210468,137472.56,5231918
2023-07-10,50000000,6771121.13,101.961,726016.96,61865701,145670.35,22826637,80571.17,11865803,70600.44,13869782,153770.2,6000634
2023-07-17,50000000,6823712.49,101.892,546275.4,47123355,149042.73,23850274,77358.06,10958055,69072.89,14206377,133352.94,5263721
2023-07-24,50000000,6904003.2,101.523,592388.48,51639329,130192.63,21533060,62368.8,8912827,70006.7,14171453,358442.15,13722700
2023-07-31,50000000,6809749.62,102.565,154814.2,12961916,166733.68,27336552,74250.91,10850550,64155.42,12469539,353683.84,13459438
2023-08-07,50000000,6432526.33,102.921,167845.79,13429371,52291.05,8808341,196682.62,27941951,67975.99,13807042,178210.86,6879471
2023-08-14,50000000,6426637.51,106.3,674904.17,56072301,43623.6,6602953,197360.16,28765164,145368.82,28937632,169423.27,6567266
2023-08-21,50000000,6961230.16,103.769,713163.93,58916366,188742.99,29529460,200686.97,28422647,160644.02,32079943,161741.61,6219769
2023-08-28,50000000,6619508.45,104.083,546658.33,44880668,138643.18,23067220,78987.05,11199848,157112.34,30596446,142744.28,5625313
2023-09-04,50000000,6234904.72,104.797,625829.81,50873917,154994.18,24243656,71471.27,10770779,67198.96,13415430,137878.72,5376528
2023-09-11,50000000,6177426.39,105.979,119559.25,9784527,145234.34,23249579,78422.1,11163066,67779.51,13798647,173484.15,6886657
2023-09-18,50000000,5931096.68,103.981,147708.83,12285959,45139.91,7371020,74126.5,11012900,67948.62,13642649,162049.58,6009951
2023-09-25,50000000,5982126.51,105.061,144150.76,12265316,39015.35,6286273,78836.03,10877760,64458.44,12832554,135189.09,5265238
2023-10-02,50000000,6006348.68,101.473,183307.94,14720210,53088.98,8280951,79586.94,11370921,63889.52,12143396,170504.12,6360559
2023-10-09,50000000,5664455.35,102.158,153324.14,12454138,42148.57,6659764,78780.78,11483840,62372.28,12287912,145414.4,5503310
2023-10-16,50000000,5833317.16,105.071,140834.93,11586208,29846.9,4671405,249113.12,35932219,53716.11,10697961,150833.81,5727578
2023-10-23,50000000,5858592.0,104.33,140714.15,11938665,42268.61,6829837,174182.01,23551363,71600.5,14293731,161049.99,6334606
2023-10-30,50000000,5896253.84,102.69,131601.4,11105514,40865.47,6604666,159904.32,23208005,76874.12,15194746,141191.14,5527738
2023-11-06,50000000,6140564.17,101.582,553156.56,47797805,30038.71,4640719,83974.48,12357165,54152.39,10851151,172114.78,6532651
2023-11-13,50000000,6681273.21,100.833,539582.52,45386183,38515.3,6177646,74132.1,10746222,191844.93,39520033,170028.03,6838315
2023-11-20,50000000,7906757.62,101.254,586131.87,48717857,44336.46,6829086,81553.43,11681510,178196.99,35887455,304673.77,11415645
2023-11-27,50000000,7044809.22,102.642,546010.23,44124315,40257.62,6524278,77414.52,11474649,163205.21,32943988,284755.34,10709320
2023-12-04,50000000,6791351.37,103.043,147064.17,12450927,38440.39,6200931,82339.78,12354916,65629.4,12944401,159800.62,6163151
2023-12-11,50000000,6487556.35,102.392,166624.66,14449289,40809.7,6605441,75128.91,10785384,155590.4,31604816,164350.82,6405290
2023-12-18,50000000,6654116.16,100.778,127428.72,10381181,38044.21,5780480,74553.69,10855525,142928.03,28109589,197217.73,7571529
2023-12-25,50000000,7465377.45,100.955,133299.67,10737439,37904.64,6137493,99921.41,14415548,144410.61,28542514,142852.05,5366443
2024-01-01,50000000,6639145.68,100.723,125076.34,10346810,40102.6,6696103,91867.71,13283558,63970.62,13233066,169280.69,6301871
2024-01-08,50000000,6822727.85,99.212,188438.47,15286369,49540.21,8193756,175453.98,24892825,68896.3,13462378,153902.41,6031309
2024-01-15,50000000,7224499.73,99.083,180209.67,15020153,201602.26,32310244,190441.74,28155295,53169.11,10546532,158176.71,5872810
2024-01-22,50000000,6847519.44,98.657,156030.79,13018326,151617.42,23599490,230004.86,34239849,61481.23,12209944,137845.21,5159556
2024-01-29,50000000,7007660.91,100.064,147625.21,12701589,162170.95,26576383,80747.57,11202268,58345.27,11764380,155261.79,6103398
2024-02-05,50000000,6942964.51,98.83,130505.39,10635254,150590.46,23838184,174240.86,23959765,60602.56,12064102,180816.63,6851904
2024-02-12,50000000,6990966.01,99.473,166090.54,13127375,44956.76,6761804,208833.76,30056689,56660.85,11490564,154677.98,6172180
2024-02-19,50000000,6881640.74,99.237,148449.42,12860853,45153.11,7146478,219189.03,31881059,61286.18,12481103,131079.57,4903717
2024-02-26,50000000,7113934.8,99.381,154526.02,13221785,36931.83,5935086,77013.85,10629846,65775.17,13504307,155980.22,6124161
2024-03-04,50000000,6975727.77,97.55,148480.09,12573203,40614.77,6351566,82111.53,12192947,58733.14,11868809,139503.86,5485287
2024-03-11,50000000,7070885.18,96.922,103080.98,8652027,40458.74,6345280,74752.8,10510595,71546.8,13993752,148955.74,5876322
2024-03-18,50000000,6890197.59,97.507,119584.56,10280052,39090.46,6159897,93035.88,13162366,68474.58,13510377,158109.56,6161918
2024-03-25,50000000,6845648.78,97.658,137665.59,11158866,149319.33,24443412,253860.36,37105208,63394.21,12470857,139514.53,5049452
2024-04-01,50000000,6904682.41,98.357,156696.55,12922787,177706.39,28417495,202854.8,29879251,74684.78,14964732,149752.77,5495939
2024-04-08,50000000,6759558.24,95.408,129670.28,10736739,141447.39,21707717,186985.89,27407510,59877.06,11984424,183871.43,7160294
2024-04-15,50000000,6908891.52,93.708,150029.45,12427843,140762.02,22478682,87589.07,12260612,63642.55,13064084,170837.9,6501623
2024-04-22,50000000,6870901.75,98.938,562152.41,45103915,41416.08,6905046,81776.62,12049212,57016.7,12444688,144733.67,5454866
2024-04-29,50000000,7235709.54,96.912,512251.77,44438841,154548.69,24359289,81050.76,11722660,54176.44,10636878,123482.24,4626329
2024-05-06,50000000,7540525.68,98.845,635054.44,52462147,156508.45,24282073,71653.4,10067335,80362.59,15798409,148094.42,5809295
2024-05-13,50000000,7970859.37,98.3,510629.77,41921008,164938.49,26902458,73718.05,10137327,62596.32,12323467,303922.15,11333851
2024-05-20,50000000,7253621.45,98.801,125515.86,10737263,143757.27,22685522,71211.57,10418662,135822.72,28400825,300332.05,11949727
2024-05-27,50000000,7090424.95,100.147,180609.18,15068641,46991.14,7347572,73206.13,9852362,154541.89,31965810,150281.92,5915781
2024-06-03,50000000,7003363.86,101.728,175949.44,14646987,43876.77,6907705,78233.14,10823031,160064.79,30033822,139956.11,5285754
2024-06-10,50000000,6363454.93,104.367,151757.83,12772088,51761.33,8425774,74705.99,10408734,57591.69,11756561,172697.53,6663860
