DATE,revenue,competitor_index,tv_S,ooh_S,social_S,display_S,search_S,tv_I,ooh_I,social_I,display_I,search_I
2023-01-02,6914774.74,99.849,169777.35,50747.75,190902.19,57108.3,177166.06,14663928,7898404,28155877,11875633,6861907
2023-01-09,6954514.44,98.471,137669.24,39409.36,218093.8,149075.96,151183.72,11037804,6386745,31427449,30338588,5669383
2023-01-16,6767645.17,100.906,167065.91,48655.09,79324.33,166211.19,168382.94,13740245,7708408,11604185,33175334,6148280
2023-01-23,7054425.45,99.947,157207.17,32658.3,71739.36,127867.55,330241.88,13094066,5372720,10600972,25393194,12507336
2023-01-30,7441065.24,98.258,520823.6,36165.66,77567.95,69341.8,325576.17,42838511,6103885,11377332,13671362,12693495
2023-02-06,7278755.91,99.551,570485.24,148202.36,78491.1,56383.45,166216.96,46499645,24150954,11157159,11172302,6330215
2023-02-13,7243474.97,101.19,690300.23,147588.98,81047.78,55454.33,153642.87,57616825,23756298,11637589,10853929,5806618
2023-02-20,7287603.42,101.184,558283.58,161509.06,101579.43,67123.16,150679.52,45190808,25163865,14960982,13758558,5795688
2023-02-27,7529196.93,100.051,144693.68,132097.26,237181.38,56812.37,171160.44,12121198,21368106,33429857,11195945,6425093
2023-03-06,6918701.59,102.904,155361.48,40431.71,189839.43,72404.33,153451.44,12794478,6521363,25985392,14860475,5900438
2023-03-13,6958146.17,101.138,135859.09,40621.5,205454.54,71429.78,157969.34,11203867,6600652,29326296,14075068,6204944
2023-03-20,6650428.86,103.4,140452.61,40583.68,101592.06,67966.31,157808.77,11930126,6354952,14352499,13912052,6171369
2023-03-27,6939431.47,101.681,154794.07,41520.69,76061.05,60385.1,304665.26,12649576,6816373,10466259,12697227,11107357
2023-04-03,6680931.91,102.549,142115.57,36966.66,87947.87,64846.15,358418.5,11678125,5728315,12564267,13049089,13986632
2023-04-10,6462149.67,103.571,145505.06,153694.97,77499.72,74839.8,155785.86,12231231,24221763,11005915,14624157,5823537
2023-04-17,6272212.09,105.959,157853.77,147476.77,71588.42,78447.1,137906.74,13118840,23642823,10655210,15496775,5347784
2023-04-24,6286811.21,104.447,182555.22,198312.72,78305.56,139884.27,154301.12,14810504,30757134,11301210,28311524,6242718
2023-05-01,6382825.65,105.131,145309.57,147166.6,80798.87,119824.94,268389.45,12040552,23128541,11610489,24251667,10686354
2023-05-08,6594004.29,103.731,136367.71,35836.6,93231.83,148288.08,347386.7,10739010,5555973,13341707,29046965,13376602
2023-05-15,6851105.53,102.224,211057.01,56682.01,73216.93,65700.8,128733.56,17594259,8738593,10072099,12733135,4844368
2023-05-22,6433281.08,104.529,165894.86,52344.54,236031.87,67222.39,154261.95,13691319,8313663,32529513,13115922,5892317
2023-05-29,6332932.72,104.297,116627.32,37279.2,196132.86,70987.74,143890.71,9727375,6234530,28586979,14754735,5423326
2023-06-05,6421666.51,103.142,138995.41,37889.18,196885.68,57828.83,160167.57,11861516,5774522,27972964,11592214,5962603
2023-06-12,6576305.25,101.346,120600.26,31591.7,71295.55,57528.94,156256.71,10272920,4950231,10491461,11902011,5970857
2023-06-19,6532577.56,101.136,162105.32,41101.17,62603.44,56772.18,156922.31,14033842,6609439,8845968,11763857,6082869
2023-06-26,6500793.23,100.658,127956.3,41128.32,80701.94,69549.33,177375.37,10963170,6511992,12052212,14505857,6961116
2023-07-03,6931598.56,99.176,557271.33,42162.51,73086.26,63287.34,137472.56,47588464,6660181,10272548,12210468,5231918
2023-07-10,6771121.13,101.961,726016.96,145670.35,80571.17,70600.44,153770.2,61865701,22826637,11865803,13869782,6000634
2023-07-17,6823712.49,101.892,546275.4,149042.73,77358.06,69072.89,133352.94,47123355,23850274,10958055,14206377,5263721
2023-07-24,6904003.2,101.523,592388.48,130192.63,62368.8,70006.7,358442.15,51639329,21533060,8912827,14171453,13722700
2023-07-31,6809749.62,102.565,154814.2,166733.68,74250.91,64155.42,353683.84,12961916,27336552,10850550,12469539,13459438
2023-08-07,6432526.33,102.921,167845.79,52291.05,196682.62,67975.99,178210.86,13429371,8808341,27941951,13807042,6879471
2023-08-14,6426637.51,106.3,674904.17,43623.6,197360.16,145368.82,169423.27,56072301,6602953,28765164,28937632,6567266
2023-08-21,6961230.16,103.769,713163.93,188742.99,200686.97,160644.02,161741.61,58916366,29529460,28422647,32079943,6219769
2023-08-28,6619508.45,104.083,546658.33,138643.18,78987.05,157112.34,142744.28,44880668,23067220,11199848,30596446,5625313
2023-09-04,6234904.72,104.797,625829.81,154994.18,71471.27,67198.96,137878.72,50873917,24243656,10770779,13415430,5376528
2023-09-11,6177426.39,105.979,119559.25,145234.34,78422.1,67779.51,173484.15,9784527,23249579,11163066,13798647,6886657
2023-09-18,5931096.68,103.981,147708.83,45139.91,74126.5,67948.62,162049.58,12285959,7371020,11012900,13642649,6009951
2023-09-25,5982126.51,105.061,144150.76,39015.35,78836.03,64458.44,135189.09,12265316,6286273,10877760,12832554,5265238
2023-10-02,6006348.68,101.473,183307.94,53088.98,79586.94,63889.52,170504.12,14720210,8280951,11370921,12143396,6360559
2023-10-09,5664455.35,102.158,153324.14,42148.57,78780.78,62372.28,145414.4,12454138,6659764,11483840,12287912,5503310
2023-10-16,5833317.16,105.071,140834.93,29846.9,249113.12,53716.11,150833.81,11586208,4671405,35932219,10697961,5727578
2023-10-23,5858592.0,104.33,140714.15,42268.61,174182.01,71600.5,161049.99,11938665,6829837,23551363,14293731,6334606
2023-10-30,5896253.84,102.69,131601.4,40865.47,159904.32,76874.12,141191.14,11105514,6604666,23208005,15194746,5527738
2023-11-06,6140564.17,101.582,553156.56,30038.71,83974.48,54152.39,172114.78,47797805,4640719,12357165,10851151,6532651
2023-11-13,6681273.21,100.833,539582.52,38515.3,74132.1,191844.93,170028.03,45386183,6177646,10746222,39520033,6838315
2023-11-20,7906757.62,101.254,586131.87,44336.46,81553.43,178196.99,304673.77,48717857,6829086,11681510,35887455,11415645
2023-11-27,7044809.22,102.642,546010.23,40257.62,77414.52,163205.21,284755.34,44124315,6524278,11474649,32943988,10709320
2023-12-04,6791351.37,103.043,147064.17,38440.39,82339.78,65629.4,159800.62,12450927,6200931,12354916,12944401,6163151
2023-12-11,6487556.35,102.392,166624.66,40809.7,75128.91,155590.4,164350.82,14449289,6605441,10785384,31604816,6405290
2023-12-18,6654116.16,100.778,127428.72,38044.21,74553.69,142928.03,197217.73,10381181,5780480,10855525,28109589,7571529
2023-12-25,7465377.45,100.955,133299.67,37904.64,99921.41,144410.61,142852.05,10737439,6137493,14415548,28542514,5366443
2024-01-01,6639145.68,100.723,125076.34,40102.6,91867.71,63970.62,169280.69,10346810,6696103,13283558,13233066,6301871
2024-01-08,6822727.85,99.212,188438.47,49540.21,175453.98,68896.3,153902.41,15286369,8193756,24892825,13462378,6031309
2024-01-15,7224499.73,99.083,180209.67,201602.26,190441.74,53169.11,158176.71,15020153,32310244,28155295,10546532,5872810
2024-01-22,6847519.44,98.657,156030.79,151617.42,230004.86,61481.23,137845.21,13018326,23599490,34239849,12209944,5159556
2024-01-29,7007660.91,100.064,147625.21,162170.95,80747.57,58345.27,155261.79,12701589,26576383,11202268,11764380,6103398
2024-02-05,6942964.51,98.83,130505.39,150590.46,174240.86,60602.56,180816.63,10635254,23838184,23959765,12064102,6851904
2024-02-12,6990966.01,99.473,166090.54,44956.76,208833.76,56660.85,154677.98,13127375,6761804,30056689,11490564,6172180
2024-02-19,6881640.74,99.237,148449.42,45153.11,219189.03,61286.18,131079.57,12860853,7146478,31881059,12481103,4903717
2024-02-26,7113934.8,99.381,154526.02,36931.83,77013.85,65775.17,155980.22,13221785,5935086,10629846,13504307,6124161
2024-03-04,6975727.77,97.55,148480.09,40614.77,82111.53,58733.14,139503.86,12573203,6351566,12192947,11868809,5485287
2024-03-11,7070885.18,96.922,103080.98,40458.74,74752.8,71546.8,148955.74,8652027,6345280,10510595,13993752,5876322
2024-03-18,6890197.59,97.507,119584.56,39090.46,93035.88,68474.58,158109.56,10280052,6159897,13162366,13510377,6161918
2024-03-25,6845648.78,97.658,137665.59,149319.33,253860.36,63394.21,139514.53,11158866,24443412,37105208,12470857,5049452
2024-04-01,6904682.41,98.357,156696.55,177706.39,202854.8,74684.78,149752.77,12922787,28417495,29879251,14964732,5495939
2024-04-08,6759558.24,95.408,129670.28,141447.39,186985.89,59877.06,183871.43,10736739,21707717,27407510,11984424,7160294
2024-04-15,6908891.52,93.708,150029.45,140762.02,87589.07,63642.55,170837.9,12427843,22478682,12260612,13064084,6501623
2024-04-22,6870901.75,98.938,562152.41,41416.08,81776.62,57016.7,144733.67,45103915,6905046,12049212,12444688,5454866
2024-04-29,7235709.54,96.912,512251.77,154548.69,81050.76,54176.44,123482.24,44438841,24359289,11722660,10636878,4626329
2024-05-06,7540525.68,98.845,635054.44,156508.45,71653.4,80362.59,148094.42,52462147,24282073,10067335,15798409,5809295
2024-05-13,7970859.37,98.3,510629.77,164938.49,73718.05,62596.32,303922.15,41921008,26902458,10137327,12323467,11333851
2024-05-20,7253621.45,98.801,125515.86,143757.27,71211.57,135822.72,300332.05,10737263,22685522,10418662,28400825,11949727
2024-05-27,7090424.95,100.147,180609.18,46991.14,73206.13,154541.89,150281.92,15068641,7347572,9852362,31965810,5915781
2024-06-03,7003363.86,101.728,175949.44,43876.77,78233.14,160064.79,139956.11,14646987,6907705,10823031,30033822,5285754
2024-06-10,6363454.93,104.367,151757.83,51761.33,74705.99,57591.69,172697.53,12772088,8425774,10408734,11756561,6663860
2024-06-17,6452650.41,104.122,169903.22,56873.48,99104.03,63499.51,146174.7,14047533,9157298,13492623,12617519,5768561
2024-06-24,6662154.53,102.509,135732.92,35493.2,78687.59,77718.89,154339.37,10927890,5460454,11309210,15287627,5882110
2024-07-01,6870587.65,103.555,571918.95,40844.32,75902.02,72350.6,182631.77,47929707,6624762,10868909,14231621,7211648
2024-07-08,7276359.45,102.503,619447.28,148175.74,80542.68,150903.27,149337.94,51791724,24413773,11663586,29718269,5764309
2024-07-15,7309628.95,101.978,619974.95,178096.5,90073.51,131630.35,138453.36,53770956,28486330,12503155,25789523,5303058
2024-07-22,7335057.63,99.646,635184.69,160431.18,91529.18,183686.43,134213.46,53222069,25842938,13008365,36267311,5081813
2024-07-29,6981463.75,98.239,125917.3,153972.29,70455.21,76496.66,159452.5,10512049,24882732,9985650,15027200,5887792
2024-08-05,6918376.13,100.046,667316.67,44492.38,71230.47,63153.98,152747.82,52237943,6871533,10573763,12411982,5799097
2024-08-12,6987416.78,98.252,517274.96,130511.88,71147.73,63844.2,179010.82,43552814,20917651,10626261,12353584,6714296
2024-08-19,6957521.19,101.116,588425.0,179281.18,78039.01,72327.44,133845.2,49627500,28015703,11340986,13855570,5178973
2024-08-26,7149559.6,102.297,818926.87,191350.88,80016.34,75208.08,143809.68,68794464,30278949,11429888,14699056,5602514
